"","BTC","ETH","XRP","USDT","BCH","BSV","LTC","EOS","BNB","XTZ","LINK","XLM","XMR","ADA","HT","TRX","USDC","DASH","CRO","ETC","NEO","MIOTA","XEM","ZEC","INO","MKR","ONT","PAX","DOGE","BAT","VET","BTG","TUSD","DCR","QTUM","INB","THR","ZB","ZRX","CNX","REP","WAVES","PZM","RVN","SNX","OMG","NANO","CENNZ","HOT","SEELE"
"BTC",1,0.828023161022941,0.708811414905504,0.230461617943489,0.793382880183099,0.514932351138442,0.739251729932627,0.748622695423474,0.579443736573357,0.484131346651978,0.349577757386831,0.623650007652142,0.762980033554532,0.706776030969779,0.433236911312176,0.642291989629922,-0.0127320633529236,0.777494722708722,0.232209146160878,0.667194653379182,0.746553246911196,0.654052299814882,0.658418830239936,0.712155075621957,0.290306433442391,0.63362533501291,0.640971555504177,-0.0383042479070239,0.573060199574613,0.428724216802866,0.526413201565523,0.708025960576059,-0.0344558047832837,0.697135238052918,0.735791470171972,-0.127539707961874,0.0860234543512743,0.34535344626183,0.542482925416018,0.42197151698307,0.510050745986135,0.486288191450015,0.0990791934708262,0.347925978737183,0.321857719107126,0.691922180669201,0.58852890933329,0.287231427684106,0.433731828631575,0.252173604388613
"ETH",0.828023161022941,1,0.809373129051789,0.167425258566892,0.813134553747004,0.557978862289675,0.825036797100843,0.86385519624949,0.645827679924647,0.508094957597713,0.439445890366678,0.743867892828794,0.776726357734192,0.831334320791833,0.518305048156592,0.749389446661579,0.0375709339377577,0.822778590162387,0.191384656667485,0.757118924367039,0.777221720867421,0.767174720273926,0.745931310673577,0.789964306325962,0.325706256407072,0.736501126016386,0.676572881983076,-0.0544907034320868,0.599950100139771,0.555867904137296,0.610940076474843,0.724926426405282,-0.0330432770327899,0.669242380469883,0.773692488928246,-0.0528175016504734,0.0373130208055538,0.425261868651786,0.672453829050366,0.352708557243114,0.576136323933549,0.506810989567677,0.116117479643088,0.435994378706067,0.37352305854501,0.786648239670283,0.660775169937342,0.329957340780117,0.500135496345476,0.273671685428599
"XRP",0.708811414905504,0.809373129051789,1,0.161207603305704,0.723930350522837,0.52566628237776,0.736751842556137,0.776159912513758,0.541154834285265,0.523042941671818,0.425965763009943,0.801400922279333,0.73357617418493,0.820890055634228,0.483020137771326,0.742469985620061,0.0647751275270076,0.741289750971547,0.138025392781303,0.703546802609331,0.733847989207528,0.780976002398299,0.680402521403343,0.724056614487,0.260303966872692,0.614723980698145,0.655631115690495,-0.0574631010813786,0.586077744818536,0.540615654494404,0.543846674730632,0.685575754156656,-0.00766619074710568,0.554324017762456,0.735305047507093,-0.0768754290929771,0.0375814579608527,0.364714086698275,0.661532380024327,0.291298493671332,0.491571264476129,0.487019398455804,0.11271057918035,0.435594017689572,0.356544783687139,0.731499683617573,0.639012096440038,0.25362487675172,0.466498467093532,0.216323347357074
"USDT",0.230461617943489,0.167425258566892,0.161207603305704,1,0.155790517660759,0.133748316581508,0.155449674440399,0.155749582881456,0.119896633216212,0.187392863741297,0.147702568688534,0.11881772206359,0.230834491240094,0.128611978718453,0.0701376718259141,0.106198428772429,0.304900658731261,0.151203347282331,0.0645300247531106,0.134450138663982,0.172528412493277,0.188326208669337,0.158898256911873,0.176353723750089,0.050486808633468,0.127428375925024,0.121070361935769,0.38844269902331,0.184001336117634,0.0817709462888769,0.14979078404967,0.176964178441678,0.406873781609926,0.15913738228611,0.182778365214376,-0.0765368822735774,-0.00211260465102648,0.102375638645557,0.164989236088583,0.099270197583283,0.157865967259597,0.103228895426361,0.149097065801485,0.0739541052389209,0.104074509216043,0.186430040404237,0.217158388558017,0.0320509975826692,0.103746355922851,0.131198087631128
"BCH",0.793382880183099,0.813134553747004,0.723930350522837,0.155790517660759,1,0.579532514141465,0.810831114852275,0.820907552737629,0.565801433334614,0.415038610913686,0.342558050277754,0.656509181142446,0.696875910230805,0.783061559413551,0.428601018713511,0.654915721179899,-0.0131979423970951,0.735508539421557,0.153904791698196,0.714027249309296,0.709313001428034,0.654473387779997,0.662877885667775,0.697469276994499,0.258884980567331,0.596534081127353,0.617626744248673,-0.0961177035385145,0.607918136193215,0.458757523935769,0.553554209772431,0.735295674100146,-0.0669322819763154,0.622633443573831,0.687820187035309,-0.038404577592729,0.0455537253917027,0.332271319205418,0.555878132830559,0.356369768972625,0.521044056188716,0.495668162559502,0.0689976545050898,0.371745887047288,0.295886372968604,0.685295153583694,0.622117876679372,0.27868283426524,0.445530138625558,0.192984274552587
"BSV",0.514932351138442,0.557978862289675,0.52566628237776,0.133748316581508,0.579532514141465,1,0.528958215327871,0.551849875534447,0.468787143492383,0.311043067855335,0.275886947134198,0.466406644135813,0.504009574123138,0.514144138685171,0.378219243095458,0.5162451133722,-0.00877266784448752,0.523338438072088,0.141805398059962,0.524806480304669,0.545180210375871,0.559321141787046,0.421209441460628,0.502299026492071,0.150815014943828,0.478744095096242,0.480198274122875,-0.0585849019788074,0.441906467537516,0.390223057716048,0.431046088622284,0.593239982619069,-0.0204659948640146,0.454812294639085,0.537767756666406,-0.0172379008896268,0.0366494256866051,0.258367956315844,0.429101185037446,0.298851706990426,0.392727691337586,0.330342478002709,0.0567796648934131,0.346097807809888,0.163680528794084,0.556682977630807,0.477500806675795,0.174107595571457,0.355331897681699,0.157479886778276
"LTC",0.739251729932627,0.825036797100843,0.736751842556137,0.155449674440399,0.810831114852275,0.528958215327871,1,0.844488843305173,0.651024332047636,0.434286810392792,0.35583390376485,0.691827554534091,0.732249820822365,0.81144731088479,0.540600892755725,0.690361903380809,0.0461699632593812,0.747621705419622,0.17709617827151,0.692519283218734,0.745806486712543,0.68871442250563,0.647549817501695,0.711074515035009,0.418249585647891,0.622951750572203,0.66534203998483,-0.057965422058017,0.599370728635151,0.512689468363628,0.588122297762327,0.727385021968931,-0.0346666764350478,0.628629206908437,0.712460014378025,-0.0171311783189676,0.0278202134286992,0.428484849886821,0.616127514362142,0.341258552153403,0.543914118814923,0.466084655749026,0.102997366681455,0.43942473540151,0.312885810000663,0.722348457756992,0.641563759160801,0.308847753541773,0.491930377857256,0.203227581353793
"EOS",0.748622695423474,0.86385519624949,0.776159912513758,0.155749582881456,0.820907552737629,0.551849875534447,0.844488843305173,1,0.611343801626645,0.460544098679005,0.404505138830701,0.691999768491314,0.747522233444538,0.83208050446978,0.527604601894273,0.731597131289999,0.0611443661107369,0.773642469255023,0.164931962124973,0.732596534985726,0.755668413775697,0.751368902829435,0.686815942063291,0.737545126687867,0.299119155093054,0.668569792876972,0.722297934796693,-0.0722942332005581,0.578940172381937,0.519035170357873,0.610807541599505,0.723819858114805,-0.00577390475251611,0.618155081773666,0.748735194850114,-0.0329396747165304,0.0253815127341732,0.404008498517399,0.617883711853227,0.350434109203518,0.538784740459208,0.524769847341732,0.113731118701618,0.425267820886752,0.334481432931725,0.762482258977813,0.673567912304818,0.285980017884184,0.488680782347462,0.201217877594654
"BNB",0.579443736573357,0.645827679924647,0.541154834285265,0.119896633216212,0.565801433334614,0.468787143492383,0.651024332047636,0.611343801626645,1,0.3894962135614,0.311333881471919,0.546760192896929,0.638702943481595,0.589181370275373,0.617811757564377,0.572635479941659,0.0332895117932238,0.648978742121121,0.162634917684693,0.576304118635174,0.578311444193264,0.553033923675033,0.48812715907279,0.630462931973508,0.261409921287388,0.572441517240576,0.552491206165322,-0.0199245745585059,0.472079774913118,0.51495573513186,0.47756768247952,0.592558797432819,0.014106717923886,0.5212624221941,0.554666259448675,0.0361700187485211,-0.00998709426050861,0.432276636123695,0.518165371136215,0.271786220827864,0.505139659099706,0.351065780597048,0.068806722596158,0.445805421744846,0.25211542846059,0.569088425476667,0.529561081682018,0.188634014603436,0.467738557588211,0.188810591498021
"XTZ",0.484131346651978,0.508094957597713,0.523042941671818,0.187392863741297,0.415038610913686,0.311043067855335,0.434286810392792,0.460544098679005,0.3894962135614,1,0.221029685514575,0.459251288651184,0.467842472490252,0.475654653924326,0.379297802991207,0.430701720063912,0.0590269321192253,0.468832674909262,0.173254741393996,0.496222603003753,0.458993976803402,0.474172154840755,0.440487571641912,0.471436859990723,0.183545503294816,0.471379358940744,0.453536543978086,0.017203057490539,0.380729004789192,0.345861278240687,0.389767456303742,0.424377675970772,-0.017410369741567,0.428326934114662,0.466709220224417,-0.0107902724416505,0.0227616023787327,0.280106255010902,0.416169772725155,0.191412035636725,0.342599536131201,0.362191383704293,0.0738819640250611,0.351919197327153,0.200405746951175,0.493883112691191,0.444881104113858,0.118144549914727,0.319208860048516,0.167959513836638
