"","BTC","ETH","XRP","USDT","BCH","BSV","LTC","EOS","BNB","XTZ","LINK","XLM","XMR","ADA","HT","TRX","USDC","DASH","CRO","ETC","NEO","MIOTA","XEM","ZEC","INO","MKR","ONT","PAX","DOGE","BAT","VET","BTG","TUSD","DCR","QTUM","INB","THR","ZB","ZRX","CNX","REP","WAVES","PZM","RVN","SNX","OMG","NANO","CENNZ","HOT","SEELE"
"BTC",1,0.885521491118991,0.827420902263343,0.233137645459341,0.833543515881662,0.732248180460315,0.831307227005219,0.858510079677779,0.495388340202967,0.361583797529229,0.374271243703556,0.764468571042997,0.860331949503529,0.788894362717418,0.377913666673937,0.595682563450479,0.0400141990930775,0.773145200338584,0.140173062792378,0.720509210181669,0.779862927434104,0.740292391680559,0.748577288291671,0.802316603851703,0.352589974171998,0.616939666948719,0.55634480115954,-0.146343961285405,0.547028220978898,0.489345787386091,0.699769334787228,0.769827038674141,-0.020967766403377,0.789842088542911,0.683110680725692,0.182263970823042,-0.035195123488554,0.24997648106266,0.687801854537695,0.874139084314656,0.446831886356788,0.493466939650322,-0.0325901317516657,0.2452051527032,0.305191183104246,0.651354191380598,0.712591784245446,0.306790359150503,0.421791248565357,0.28844416280113
"ETH",0.885521491118991,1,0.834979851623532,0.198962924690368,0.745250059083632,0.734298791957252,0.810320632932032,0.883106976744381,0.548499090942729,0.406712770885187,0.430837324647912,0.76318617543832,0.836374472357839,0.801028927951498,0.456609616669907,0.657519953425413,0.0785094995945736,0.788242971274711,0.149998573703051,0.743865574337217,0.800080044618432,0.797302424032213,0.719892539377252,0.796821394491834,0.388716454776497,0.707404721348105,0.601659693122729,-0.111680991699984,0.464961270769069,0.540346163783678,0.702837491998898,0.739309054990004,0.0151503439407696,0.768354174244428,0.732120795271499,0.16048176268429,-0.0672800466750144,0.292344354770186,0.73293933191898,0.842831140048741,0.501025187216586,0.501328832772315,0.0245667770245962,0.28594798442993,0.352041247528632,0.725625834185951,0.66497754644155,0.307329575501489,0.399324482818276,0.337868781109652
"XRP",0.827420902263343,0.834979851623532,1,0.234160026800762,0.705124468035144,0.722685819496218,0.734684320154165,0.793895795928974,0.444535065535466,0.453614503058589,0.398906183164267,0.791346268616394,0.786786928742376,0.769953579865764,0.432050842687785,0.621409076054362,0.0925095652383342,0.755659153435648,0.152743489268778,0.69669625826712,0.743741153882992,0.750714298841109,0.717738276082638,0.77324227960619,0.313837975238775,0.596428765280651,0.5651645386157,-0.101528611494816,0.459699532987075,0.492896940500763,0.678174774130062,0.780139944279381,0.00263382037492422,0.705605071899867,0.690224228398209,0.184776406722754,-0.047592251858966,0.256208965538353,0.707332754997603,0.806203577694048,0.42651243819905,0.471497966703516,0.075399789924829,0.267533310525742,0.30451878444832,0.679691163221748,0.652889716119464,0.262299789472933,0.413214653145973,0.282538097275376
"USDT",0.233137645459341,0.198962924690368,0.234160026800762,1,0.133235966378474,0.116493490009088,0.137756322941237,0.155845823578385,0.079418116644863,0.0633630502628871,0.196612871799732,0.134087579314291,0.212719057417927,0.127423037720074,0.137674371897355,0.0964495875443944,0.148697795411813,0.150191609232113,-0.00424497676117417,0.128189844077527,0.137798171575367,0.216474399298686,0.1211277510678,0.18604734750599,0.0410549413087926,0.100980034904924,0.110523990721475,-0.0954973645339922,0.0499004647605945,0.129345225314004,0.144084390834365,0.0700943378402943,0.113749922264642,0.165403388108949,0.13617646790468,0.0531078577566319,-0.0529388660078067,0.0605592040922044,0.182359060736274,0.239913029470045,0.093041321772884,0.191380786950385,0.142052759953385,0.0738273850600177,0.0517252387249391,0.120361679265675,0.261131523947126,0.0482489779446191,0.139790696806832,-0.00797450916210305
"BCH",0.833543515881662,0.745250059083632,0.705124468035144,0.133235966378474,1,0.669140887455949,0.806352756131956,0.786275127314058,0.380828744492498,0.228688149807223,0.277258978204594,0.664220708383873,0.633980022740974,0.774793496590405,0.28412581157882,0.504428885901424,0.0358809636426721,0.626472112380964,0.103257482501738,0.642503182975875,0.682776432471842,0.565404220730178,0.656677923022131,0.680242276589769,0.264076021281873,0.496917480046691,0.461945373864528,-0.156621572602994,0.576160121437801,0.333063669977065,0.64290741515973,0.715893032878102,-0.0752580732548258,0.663360012304139,0.587146244481621,0.189210378205399,-0.0374983311711874,0.161076798216803,0.556129401903439,0.748435265827589,0.429852013007847,0.416230954141423,-0.0569757999087094,0.231585779521076,0.237120489967157,0.549273041127581,0.56792315386852,0.257878461767349,0.333825043072537,0.225772454049895
"BSV",0.732248180460315,0.734298791957252,0.722685819496218,0.116493490009088,0.669140887455949,1,0.70798956082867,0.684303421375108,0.41907842091531,0.272129799827638,0.28262425820092,0.640173605604684,0.64474240166999,0.678354934745107,0.460545388494455,0.504269984332932,0.0747199433681866,0.656988492169281,0.140078091538455,0.642298308342459,0.683423375986668,0.636338854843371,0.647947917766603,0.657085084587808,0.25861758475592,0.567464269691039,0.491112995270222,-0.125022193357743,0.586618986831029,0.510447110115916,0.625852942085047,0.662083323228511,-0.0105881507773633,0.67148399719324,0.650722098056455,0.180683554061715,-0.0103477574862571,0.231503076526457,0.559825350385664,0.682545240485075,0.457333191574733,0.399435900310985,-0.00250091450790794,0.268040761483355,0.266456462910431,0.601437692863977,0.544640567143248,0.260948514663084,0.286217722696247,0.257385344855466
"LTC",0.831307227005219,0.810320632932032,0.734684320154165,0.137756322941237,0.806352756131956,0.70798956082867,1,0.839438781940423,0.551994218517455,0.290548805487973,0.337443208157025,0.662296880700366,0.723804563865827,0.779706676255883,0.457963724559445,0.558010063299254,0.137326636074618,0.696845955428309,0.111452700298046,0.642191782017627,0.772710661100182,0.64237251506067,0.625980178624344,0.717889815651836,0.511956322205471,0.535038241633144,0.552495647158033,-0.0809573706436433,0.542804337714698,0.363521114442851,0.667304639155367,0.745037267737247,0.0251154629649626,0.695917734000969,0.626768266859264,0.174921757112322,-0.0588248503042238,0.289953770053833,0.626111844691037,0.818208459284298,0.44460984514671,0.461509227808014,0.0421221108739136,0.287354584252987,0.275551837762458,0.645861512254648,0.576948700164678,0.296066994260393,0.417542809458852,0.243814181511984
"EOS",0.858510079677779,0.883106976744381,0.793895795928974,0.155845823578385,0.786275127314058,0.684303421375108,0.839438781940423,1,0.544677772010498,0.379765267098932,0.379978653415481,0.736096943718598,0.78650482843181,0.808740392972299,0.474689167628993,0.614010157404333,0.112771205176318,0.7853979617448,0.149619129901781,0.695393192021835,0.787819467298881,0.745920277380108,0.679147318077635,0.785368472546114,0.333042372337741,0.656346004377252,0.638390465698169,-0.100967404054829,0.472234272380418,0.426389803429867,0.701798006016331,0.784750100148151,0.0838742135410356,0.725055123019433,0.700019265762923,0.203503467158264,-0.0695737456859771,0.253035900689537,0.685704097327602,0.837269757275831,0.432903339950416,0.51146498764867,0.0464946925299941,0.296201576553542,0.317240484708714,0.68744241462756,0.651307633612663,0.256195838540633,0.380137478833814,0.262081068609552
"BNB",0.495388340202967,0.548499090942729,0.444535065535466,0.079418116644863,0.380828744492498,0.41907842091531,0.551994218517455,0.544677772010498,1,0.207716488189634,0.270700879150323,0.429013523481073,0.531657403207097,0.446605606296015,0.55148985835712,0.427018149388937,0.0782766987258381,0.539290161940323,0.0949927313070706,0.422974448835283,0.524375858385225,0.424601007460544,0.354142948785088,0.503168761148408,0.249972101418828,0.467800161237148,0.464557103559847,0.0157249985308843,0.333113845987988,0.390583598405793,0.425896947272991,0.482329672749532,0.107905955080565,0.430832902759301,0.444894552814537,0.176576968100032,-0.111697171906875,0.290599984380019,0.475429171990465,0.521918483508868,0.364357471496363,0.270750406192748,0.0481486550379492,0.262462942685253,0.252035942015205,0.428521075641978,0.39600283287831,0.087164587429544,0.347791511434021,0.279997334024669
"XTZ",0.361583797529229,0.406712770885187,0.453614503058589,0.0633630502628871,0.228688149807223,0.272129799827638,0.290548805487973,0.379765267098932,0.207716488189634,1,0.180080589826355,0.394467590989005,0.386867041434532,0.345271364362589,0.316997126236129,0.310683807665612,0.0602552632714562,0.372104882793942,0.0765233937687848,0.424342484867075,0.357526750189534,0.389786648855235,0.343274186281011,0.37582564031311,0.169227170160561,0.327650072661913,0.398716539816854,-0.0506535648349569,0.150120564999901,0.348019042261199,0.343872315266063,0.344941860117558,-0.0788320128536741,0.331454351278283,0.367761910402302,0.0696703091152096,-0.0412397627334603,0.192053755161491,0.380509640251353,0.391917607683072,0.187195157961195,0.327151001986308,0.0403408512134793,0.251007980641029,0.0962340475745023,0.434746355805099,0.372531411510624,-0.0217601003646777,0.254164117426317,0.15403916817963
