"","BTC","ETH","XRP","USDT","BCH","BSV","LTC","EOS","BNB","XTZ","LINK","XLM","XMR","ADA","HT","TRX","USDC","DASH","CRO","ETC","NEO","MIOTA","XEM","ZEC","INO","MKR","ONT","PAX","DOGE","BAT","VET","BTG","TUSD","DCR","QTUM","INB","THR","ZB","ZRX","CNX","REP","WAVES","PZM","RVN","SNX","OMG","NANO","CENNZ","HOT","SEELE"
"BTC",1,0.823005777571443,0.699096686011096,0.471144676538354,0.835380524936825,0.366914238069335,0.703872554881064,0.714959466703392,0.55314341121241,0.600655659918185,0.338816749551091,0.682168261835897,0.748908423506757,0.675148222067232,0.36370367242743,0.664616239447247,-0.0418773353492385,0.810391544215007,0.326895821604036,0.628990202182831,0.750505632788633,0.674144945773295,0.665144491441921,0.698260985073355,0.241104237472785,0.716547493386406,0.728987144027501,0.231484663285422,0.606668002013605,0.396665409650254,0.487593259090918,0.685056466208914,0.0106520393254137,0.766802893609403,0.764843800423337,-0.239775019692305,0.960941140595122,0.358338943624868,0.604555400063294,0.461341043032503,0.661203047232583,0.539010217784105,0.205380468740715,0.373953986907668,0.429802473101847,0.719938658283017,0.5223206901587,0.348040666217416,0.436719440137636,0.340470749834141
"ETH",0.823005777571443,1,0.812465862550231,0.359254721973655,0.849822981898476,0.420901868719103,0.807481839373467,0.841739993470552,0.615840820768278,0.614773040214058,0.443432282059367,0.829059776257941,0.775615663651973,0.839202570606497,0.426061741130237,0.785679214021987,-0.0231895750394159,0.848965368020102,0.226740652404991,0.747079882886571,0.821423457226799,0.792642355532673,0.832794916072727,0.799835382719527,0.209160997510906,0.785582879427452,0.785417601018556,0.15993092434979,0.678941678751724,0.537575380837221,0.601965549977603,0.663578753911104,-0.0521647676969055,0.710284635430944,0.804298376583245,-0.162164532851178,0.795054315588429,0.493856252277983,0.750295300668939,0.385753021739408,0.737852556734945,0.568971506430289,0.223895213604982,0.535137758365451,0.431246836941796,0.829524483028736,0.638853977143106,0.398553228073971,0.549628197220322,0.312136245988415
"XRP",0.699096686011096,0.812465862550231,1,0.277530680196085,0.750906100803943,0.412352618530301,0.734897572516681,0.796882480617883,0.496132752112924,0.636947772649449,0.407375767937479,0.839570701373005,0.738583495478826,0.862390764366792,0.461720612946761,0.786841079165596,0.000426753488395066,0.752452154758184,0.124004738827274,0.719150547916242,0.783101087627457,0.82257692018816,0.661061000583677,0.720695365256074,0.191848966844684,0.702896660632453,0.820456526633155,0.0259110523004964,0.635745159241932,0.51849801487917,0.561584062636584,0.623462711253311,0.0452989825338719,0.594849354770553,0.750127176968177,-0.172853974001437,0.622609801234186,0.422461729092287,0.737613574750315,0.284545127271505,0.653350148580779,0.580809980257839,0.195075385490783,0.534293865184755,0.442235591149526,0.737655871608958,0.610643058840272,0.275208751922525,0.501890100612554,0.231556458628183
"USDT",0.471144676538354,0.359254721973655,0.277530680196085,1,0.406402976559556,0.30650731609718,0.377647832438945,0.363432394716437,0.341004898731102,0.317289995896541,0.166537893858914,0.300578077345019,0.434549139976939,0.314501253623073,0.185151455868365,0.311400046584575,0.0989741734695643,0.393938090803823,0.183711608759021,0.3221000375851,0.34716767690124,0.400912429848666,0.342434037359566,0.405364175319313,0.133134145287291,0.362700338285539,0.356818570547269,0.305380992624146,0.369112828751944,0.247569508742142,0.315131377554981,0.449225015536375,0.170842986220248,0.386997785450486,0.415008781247981,-0.160071953978448,0.484912794209728,0.249123030146106,0.381171299933575,0.284993972571903,0.362842721817246,0.299821041375884,0.169973304117591,0.246288556529035,0.244897701502679,0.358434262507702,0.392407457052973,0.0772550278420602,0.221122427754096,0.346988772686282
"BCH",0.835380524936825,0.849822981898476,0.750906100803943,0.406402976559556,1,0.474263437031301,0.77876763630844,0.835915266838616,0.575376436650121,0.591129883094571,0.392581558371342,0.756246328559475,0.745631812423809,0.779435217837555,0.376710156082219,0.705136881106307,-0.131198278484109,0.819014963214839,0.194719686024939,0.729730432522219,0.789361587184912,0.766746095606863,0.732647624614274,0.695361032687315,0.174098850461725,0.692476050345102,0.792132782067353,0.124792523956441,0.622190077713896,0.492646664937897,0.535081983988709,0.712072283849638,-0.0983775478046816,0.689213550186762,0.750792021052992,-0.150583917561134,0.805658879007483,0.424673927735415,0.70276380466751,0.350299683531007,0.661144346390507,0.603785528645519,0.211983635050956,0.452809613320295,0.370458083822436,0.754732166909665,0.630508816177516,0.398737824961073,0.50904100309085,0.20539612192965
"BSV",0.366914238069335,0.420901868719103,0.412352618530301,0.30650731609718,0.474263437031301,1,0.392068738061803,0.434532758496261,0.413160817252604,0.31541499606056,0.236716380743498,0.401473137933336,0.403767944446769,0.383904362417688,0.271691994674583,0.463643035600588,-0.113767786964578,0.41674792120654,0.167861089886038,0.398803635221636,0.487584996977325,0.551935321979012,0.312135141112165,0.373582585616116,0.0153266513996542,0.44062568893067,0.488369571696422,0.0862842791489003,0.329983262312984,0.331673643555536,0.361556055943648,0.556385063048972,0.0661007379554885,0.370622768577781,0.455949441425055,-0.0823063568476323,0.308219338629454,0.241213261946107,0.467149208375986,0.174383309855955,0.401170454443474,0.2792754393015,0.136260172465407,0.409236237786449,0.0761258954608786,0.485360484260824,0.421210339244734,0.176142047089493,0.395246904754168,0.153634882807927
"LTC",0.703872554881064,0.807481839373467,0.734897572516681,0.377647832438945,0.77876763630844,0.392068738061803,1,0.821918919103908,0.620280334091121,0.590127972707858,0.359465005050791,0.770001872735262,0.744157332824844,0.801095023584092,0.506051886120913,0.751937449866385,-0.0932825749490234,0.763512613880115,0.260381359076741,0.703652905811345,0.771470241449617,0.751541748098709,0.685407889920328,0.724592429833916,0.272564943617316,0.723379261548102,0.780198636396113,0.14117404070759,0.620096699423358,0.583202275076647,0.569037583764463,0.676345036900955,-0.0841358413988736,0.687496620118403,0.744849465311765,-0.108510800573338,0.669196903556958,0.502986461440908,0.729776774661099,0.357263206734148,0.694157911970664,0.494083304058059,0.183881549546585,0.549969878461195,0.379363903605688,0.75108445950768,0.642065532362757,0.364995229855961,0.481537858657675,0.252577201198884
"EOS",0.714959466703392,0.841739993470552,0.796882480617883,0.363432394716437,0.835915266838616,0.434532758496261,0.821918919103908,1,0.536831508259201,0.547563674630633,0.435169442376729,0.765228494753644,0.746438271020725,0.82805141423028,0.431309368889112,0.768072079874188,-0.0132678067964028,0.779518078729867,0.160164842847837,0.730196181329671,0.787844687198185,0.822335320136684,0.743467035552059,0.723894421584051,0.196368295313665,0.7156723104335,0.841193220149968,0.095413949684231,0.658109786035364,0.524034354270647,0.601724261398968,0.643073985002783,-0.0358475556396124,0.632899454335791,0.75911752407362,-0.139654351301567,0.685428202303309,0.476520404188413,0.730895748113322,0.354664817415016,0.689464852537289,0.582205608532826,0.217911490848267,0.481770790436718,0.421857982825608,0.794021973991968,0.6624232674462,0.359621973073246,0.549794032463582,0.230657474391854
"BNB",0.55314341121241,0.615840820768278,0.496132752112924,0.341004898731102,0.575376436650121,0.413160817252604,0.620280334091121,0.536831508259201,1,0.546913264917279,0.309541926583153,0.61132465979505,0.66421305952523,0.574227459464966,0.603178015885372,0.573027682547607,0.0316949715129406,0.638501131961199,0.147907326322933,0.570533384587898,0.558227465994762,0.604970848008281,0.536135361905264,0.633945644529815,0.170921720770169,0.607946725370015,0.567522535088531,0.253446020990908,0.511439647734874,0.545769950436015,0.465048244000526,0.524085488487721,0.0244241821578926,0.571137736800642,0.544205818857815,-0.0444380024928484,0.536954205357758,0.508579107425443,0.626707136782274,0.284577629646323,0.649032542944295,0.365380309965988,0.0352055767268944,0.545039594411207,0.295795117512257,0.577635530951114,0.537899169082848,0.269680898869145,0.488561484190119,0.134031459741384
"XTZ",0.600655659918185,0.614773040214058,0.636947772649449,0.317289995896541,0.591129883094571,0.31541499606056,0.590127972707858,0.547563674630633,0.546913264917279,1,0.263608768212907,0.64680583427929,0.591297368747805,0.60586174389947,0.489633731679514,0.566834811576193,0.00834984879501794,0.583967843694785,0.3021940078059,0.584639952833333,0.599157244140112,0.594684018026975,0.574027073144635,0.552372807717879,0.176453342765181,0.658339439859112,0.584827684283093,0.100660637457006,0.552297250751549,0.365368865986609,0.413141794071549,0.457158437512857,-0.0438675265416388,0.556948843889705,0.55485534382278,-0.0612367894163288,0.548427367978706,0.395068846332868,0.595736260844467,0.232320459773101,0.567138891254769,0.478892572449157,0.152744622633284,0.442043854165569,0.303694967007561,0.583310305851733,0.507425729863711,0.226726053757814,0.410261357748851,0.203189987685819
