"","BTC","ETH","XRP","USDT","BCH","BSV","LTC","EOS","BNB","XTZ","LINK","XLM","XMR","ADA","HT","TRX","USDC","DASH","CRO","ETC","NEO","MIOTA","XEM","ZEC","INO","MKR","ONT","PAX","DOGE","BAT","VET","BTG","TUSD","DCR","QTUM","INB","THR","ZB","ZRX","CNX","REP","WAVES","PZM","RVN","SNX","OMG","NANO","CENNZ","HOT","SEELE"
"BTC",1,0.831730900113199,0.639281348850409,-0.0872515763581601,0.819167488957664,0.753699386436717,0.82757948859611,0.784898390186579,0.817961839340276,0.427981640090286,0.365875365666352,0.46205007955993,0.714562574287504,0.751073156070728,0.731573940926397,0.667916604366756,-0.0533188231671983,0.762427968497128,0.553104250272939,0.746020336878051,0.735253600603307,0.525783205485362,0.557722082743573,0.695768765117365,0.557120240158542,0.607189060392754,0.658690312447853,-0.236046575049838,0.626515362745886,0.480636943779696,0.550399153990062,0.757983732646989,-0.106499289529572,0.559043809912813,0.724607642000753,0.38449829476008,0.875704612450841,0.63704144296997,0.410351325543647,0.461511527331168,0.526461131274943,0.428754878409111,0.0896875463156885,0.49705107640041,0.172300228112478,0.680923812575236,0.66221324893823,0.245613131505879,0.59773733418435,0.067659688385443
"ETH",0.831730900113199,1,0.790001230373838,-0.0788240587710132,0.885004609707422,0.76507265389184,0.903938222521659,0.886830293804392,0.850510209824027,0.460005405795939,0.483932844660301,0.628025303020757,0.689680998202399,0.86721048683998,0.792969778297741,0.80331517059846,0.043117751503553,0.831222625492467,0.423028425968949,0.786662232917933,0.692378573145141,0.664663013687122,0.573617487946552,0.799696709998953,0.573639765943128,0.727112559477611,0.637188117775142,-0.181907086442978,0.678693009206453,0.614889096861981,0.597946548582203,0.806915632555765,-0.0930719212903435,0.531208660910357,0.765711786920812,0.366457209047301,0.707306729364946,0.672452697379139,0.540901858641942,0.352110511690885,0.537840324296033,0.434934374833829,0.121127890289614,0.530494057170421,0.306804630295991,0.772422640185147,0.699506995759145,0.29231890678839,0.692587096862327,0.107071661861967
"XRP",0.639281348850409,0.790001230373838,1,-0.0198075670938069,0.770423353370649,0.658318644381449,0.812130074375155,0.755903703105761,0.768816090284179,0.406485008487274,0.555033975418633,0.771557830824574,0.661751129962349,0.835225152053019,0.666145108852237,0.776146957288501,0.10542975350147,0.726074079144158,0.286585773020802,0.687085975783169,0.63936334327344,0.721348724687068,0.680317082518573,0.698834577940912,0.490194502967926,0.547220114018131,0.549647607360061,-0.103721748699625,0.683737122730048,0.651634089630648,0.464188176580405,0.705187371259242,-0.0618535239176163,0.383335876788976,0.743547832380094,0.258305788859558,0.510581993963165,0.57734684636626,0.539440967755168,0.287319297484973,0.444644087860043,0.355599001964477,0.0647415499040781,0.544737353773147,0.298157173975419,0.769846296850737,0.70589208693435,0.239542650275265,0.609976478791849,0.116291104049506
"USDT",-0.0872515763581601,-0.0788240587710132,-0.0198075670938069,1,-0.0664091672002754,-0.0946984421980406,-0.0715368099424884,-0.0585072004404013,-0.0517007058249944,0.161346168099219,0.10410568862476,-0.0583625298078062,0.000543457414879849,-0.086748353545475,-0.0781422467118121,-0.0963298660651474,0.591143427777738,-0.0952301944205989,0.0938834685687401,-0.0669532496335098,0.00735115934854854,-0.108857837773132,-0.055094652353251,-0.0730678346605128,-0.0216580846971304,-0.0451809429753568,-0.0711980904873158,0.660270688695852,0.109641027601096,-0.115962529973729,0.0231029442296254,-0.0303443442952544,0.72980763342254,-0.0568285410127433,-0.0694855616723503,0.0684458099669753,-0.130927112822333,0.0112606262995041,-0.0328657679532384,-0.0259908360140949,0.0669690686945279,-0.146256079275487,0.160602737969115,-0.0987113888514928,0.00427627060452943,0.0394830866209281,-0.00658213162713778,-0.0173254853417999,-0.0605164852857852,0.0167170476252605
"BCH",0.819167488957664,0.885004609707422,0.770423353370649,-0.0664091672002754,1,0.844727418823772,0.878177037380051,0.860887758986164,0.83703848152318,0.438266261447605,0.437838065543026,0.56976932599362,0.743545487825732,0.813001505158297,0.748627051716938,0.804476295137117,-0.0246078939958893,0.789855887638833,0.362743449894595,0.809456939832177,0.668922154406732,0.62876175496736,0.576076127737015,0.803151245528048,0.497171294671689,0.615407011390017,0.628419654539151,-0.207632669794775,0.646850328631305,0.588401950344134,0.544126389799364,0.815640319586124,-0.0761044578928073,0.539113501684294,0.761038439957943,0.265640409795876,0.69275893261473,0.643385893995592,0.423697794274791,0.433747513372111,0.530546507875401,0.482121613200837,0.134541966794185,0.49974705768289,0.295126808523851,0.780016533827114,0.701533788672975,0.185751964795583,0.619224332930644,0.132806846203419
"BSV",0.753699386436717,0.76507265389184,0.658318644381449,-0.0946984421980406,0.844727418823772,1,0.777397449560903,0.773374260629379,0.765924188763171,0.414768911082586,0.419260334275004,0.517260926168194,0.65294944868117,0.749071620622346,0.606601578894514,0.682092385483734,-0.00596221063020333,0.701723416095899,0.333422235776213,0.745877379151809,0.59984070156637,0.538626026003104,0.515634831769989,0.699859715896274,0.49939498971334,0.556739133188516,0.562398450671644,-0.179556840376183,0.611627071299259,0.497107700076843,0.499548355238696,0.696346015444557,-0.108303601749852,0.505455478012797,0.668784723312883,0.336286905958684,0.639465681346111,0.522586615336442,0.341587829939923,0.506636802219979,0.499521860110018,0.418616997718264,9.31692986376388e-05,0.440840926686581,0.263366332965821,0.728511729244959,0.632969132217107,0.146047851192099,0.58316063857648,0.0798366593030447
"LTC",0.82757948859611,0.903938222521659,0.812130074375155,-0.0715368099424884,0.878177037380051,0.777397449560903,1,0.899383564042846,0.840921085521929,0.393936444064699,0.466758658940551,0.674946179100471,0.760068591116025,0.888208776060065,0.754636827268191,0.808529697729945,0.000217828512033067,0.822478617808269,0.331040725648535,0.767015120184092,0.723201300171614,0.650378761977362,0.636022221256465,0.771276698145234,0.501354307771299,0.638202615217083,0.690068592166616,-0.204565728052868,0.673968761285028,0.621073722115578,0.605508511299416,0.791437755896134,-0.120119240987606,0.516402988015873,0.815418443593216,0.329519727727791,0.711934878242464,0.687931918676811,0.507202757880387,0.385193804586135,0.54392416248214,0.485111778921569,0.118311430164885,0.52425332894505,0.278268199730578,0.801334378692883,0.751282901713193,0.277657350743527,0.690522062257004,0.0591061445624902
"EOS",0.784898390186579,0.886830293804392,0.755903703105761,-0.0585072004404013,0.860887758986164,0.773374260629379,0.899383564042846,1,0.787993357831649,0.420395287866347,0.449128484618937,0.577554211112526,0.703238463097817,0.872803528728652,0.754598355260395,0.815394750677845,0.0529717502569829,0.759008463453777,0.32611792633189,0.783395046489704,0.69146861161413,0.631026449917767,0.594200892289246,0.756938848981038,0.541076590212378,0.630475266475488,0.675659268686687,-0.17414551225719,0.622718045922995,0.609570121398919,0.577327664943306,0.754982484838151,-0.110058083842849,0.507740534004704,0.80687081633322,0.312432187345236,0.659856598171732,0.67669965341085,0.430436512133392,0.359937990061896,0.529404638178738,0.47521007669091,0.107624906590099,0.534693518519514,0.213582699703052,0.801288811547865,0.714133252251966,0.24344808004472,0.646619363243372,0.0671853320564974
"BNB",0.817961839340276,0.850510209824027,0.768816090284179,-0.0517007058249944,0.83703848152318,0.765924188763171,0.840921085521929,0.787993357831649,1,0.457373829582296,0.452551747558146,0.610482851798048,0.749077373072711,0.832988284772053,0.73872455162497,0.756599935191041,0.00663341711903432,0.788168798736166,0.514602228667142,0.815657880940021,0.714067601857808,0.682816275809545,0.655635736184066,0.79199976829169,0.552063874940965,0.680201788376977,0.63849591162241,-0.201951347370694,0.656357294465335,0.616431457053826,0.570996158274269,0.825039272162538,-0.0822886960619322,0.569795584708007,0.773544064945606,0.426281003746255,0.698226592317332,0.653555343778123,0.487825358048284,0.333020665234083,0.57160622335952,0.458163763417345,0.115383120284625,0.591527498361412,0.258070491662714,0.771545621174373,0.718483661319837,0.20507101874099,0.728162169830781,0.163489571924816
"XTZ",0.427981640090286,0.460005405795939,0.406485008487274,0.161346168099219,0.438266261447605,0.414768911082586,0.393936444064699,0.420395287866347,0.457373829582296,1,0.213991557671516,0.268874294328974,0.323881922475015,0.430894521356324,0.368214420088641,0.356948551324493,0.152241133701898,0.399134861545375,0.328282517744411,0.462897331681108,0.364869668328694,0.336980643243201,0.328861814449919,0.454933516464824,0.322126836247649,0.4424925413925,0.353149128046796,0.0516324775581164,0.484247269396286,0.303218586596089,0.430741193046606,0.460792135787257,0.0822586056129427,0.355532262820844,0.456379109950523,0.205544142081951,0.365655173155082,0.318706052337086,0.249730801517488,0.176792424540788,0.310677736284535,0.238330949491145,0.0253960491059474,0.364262587082526,0.247065032823344,0.430351351369684,0.441938551585872,0.12470435175058,0.32792200699541,0.144064462049922
