"","BTC","ETH","XRP","USDT","BCH","BSV","LTC","EOS","BNB","XTZ","LINK","XLM","XMR","ADA","HT","TRX","USDC","DASH","CRO","ETC","NEO","MIOTA","XEM","ZEC","INO","MKR","ONT","PAX","DOGE","BAT","VET","BTG","TUSD","LSK","DCR","QTUM","INB","THR","ZB","ZRX","CNX","KCS","REP","WAVES","BCD","PZM","XIN","RVN","SNX","OMG","MCO","NANO","ENJ","THETA","CENNZ","BTM","HOT","ABBC","DGB","KMD","SEELE","MOF","KBC","ICX","KNC","MONA","STEEM","DX","XET","NEXO","SC","DGD","SNT","ZEN","BTS","HC","BCN","NRG","XVG","IOST","ZIL","BCZERO","REN","GNT","BNK","EURS","ARDR","AE","XZC","ELF","QNT","GXC","MANA","PLC","NPXS","ECOREAL","STRAT","MAID","RLC","CRPT","RCN","ETN","DGTX","ELA","DTR","TOMO","SAI","ADK","CSC","LA","ETP","ENG","CCC","EKT","ICON","WICC","LRC","TRUE.","AION","QBIT","ARK","RDD","BZ","DRG","DCN","TNT","DIVI","VEST","BRD","ILC","FUN","NAS","VERI","IGNIS","WAN","NULS","BNT","LOKI","PPT","IOTX","YOU","EDC","XMX","R","FTM","WINK"
"BTC",1,0.828023161022941,0.708811414905504,0.230461617943489,0.793382880183099,0.514932351138442,0.739251729932627,0.748622695423474,0.579443736573357,0.484131346651978,0.349577757386831,0.623650007652142,0.762980033554532,0.706776030969779,0.433236911312176,0.642291989629922,-0.0127320633529236,0.777494722708722,0.232209146160878,0.667194653379182,0.746553246911196,0.654052299814882,0.658418830239936,0.712155075621957,0.290306433442391,0.63362533501291,0.640971555504177,-0.0383042479070239,0.573060199574613,0.428724216802866,0.526413201565523,0.708025960576059,-0.0344558047832837,0.567167667837704,0.697135238052918,0.735791470171972,-0.127539707961874,0.0860234543512743,0.34535344626183,0.542482925416018,0.42197151698307,0.483312031333255,0.510050745986135,0.486288191450015,0.603171087292244,0.0990791934708262,0.533643108860199,0.347925978737183,0.321857719107126,0.691922180669201,0.519885673373211,0.58852890933329,0.265385365877524,0.326828415190353,0.287231427684106,0.588657094686732,0.433731828631575,0.299586171407072,0.55633153543518,0.422882877757935,0.252173604388613,0.0677740958088208,0.233348026469822,0.507933195905876,0.428256293214972,0.302443630609205,0.510379824332199,0.396399617120688,0.32853145517451,0.499341443173185,0.676334232965352,0.452846390172452,0.649400905809503,0.430369348590981,0.726037153682182,0.532715719195889,0.446009779382101,0.433896855174136,0.557770353068645,0.580474217776463,0.534157633810227,0.241760518341693,0.384840940460693,0.615268685318097,0.501201602131605,0.18547099543201,0.596085995334209,0.592301862024896,0.55201449289468,0.56040650209807,0.382979387576929,0.462256671346369,0.453552144997422,0.0980107094912304,0.539787552526549,0.102002613889075,0.523196562825519,0.58938223025804,0.426633912598465,0.505151497991725,0.264153902679636,0.53606455155368,0.275260469849149,0.574926773565347,0.307229394742394,0.372172207746796,0.118506156358437,0.211887469159436,0.231176473386247,0.384317607803192,0.238848988176883,0.413301143905982,0.211127413302509,0.311024219066943,0.0845080713404799,0.56061692513508,0.458296015955532,0.495350245181343,0.489660714762152,0.702031618972289,0.452945458696812,0.485747046284004,0.284249255004651,0.296479612976049,0.201007990627988,0.33417464979872,0.323267730210846,0.399772120369483,0.430959799240832,0.127406318462674,0.440300067034338,0.553610121187827,0.450127668003969,0.346231891838873,0.444129364669046,0.484013608019843,0.739242285469154,0.38477970421119,0.410055951826728,0.462108493486679,0.200833275021629,0.24315687364879,0.269756693839613,0.289081921875065,0.446247453756819,0.0129305419058519
"ETH",0.828023161022941,1,0.809373129051789,0.167425258566892,0.813134553747004,0.557978862289675,0.825036797100843,0.86385519624949,0.645827679924647,0.508094957597713,0.439445890366678,0.743867892828794,0.776726357734192,0.831334320791833,0.518305048156592,0.749389446661579,0.0375709339377577,0.822778590162387,0.191384656667485,0.757118924367039,0.777221720867421,0.767174720273926,0.745931310673577,0.789964306325962,0.325706256407072,0.736501126016386,0.676572881983076,-0.0544907034320868,0.599950100139771,0.555867904137296,0.610940076474843,0.724926426405282,-0.0330432770327899,0.635833209258271,0.669242380469883,0.773692488928246,-0.0528175016504734,0.0373130208055538,0.425261868651786,0.672453829050366,0.352708557243114,0.519573290073128,0.576136323933549,0.506810989567677,0.641511529284639,0.116117479643088,0.556841316107879,0.435994378706067,0.37352305854501,0.786648239670283,0.613370185427935,0.660775169937342,0.335699012114367,0.439326135831606,0.329957340780117,0.610443934631166,0.500135496345476,0.254834789675994,0.630265306977957,0.527266281562381,0.273671685428599,0.0512641328398629,0.293413104614826,0.587467809538528,0.52005366896078,0.324800612256408,0.610242550955949,0.473958456058575,0.208932065818866,0.54774350278404,0.693381667391227,0.538159664019895,0.72750873758597,0.466441112888761,0.798525628644754,0.559307347721274,0.420680187673243,0.367459979984139,0.655503043626932,0.624928983808661,0.630060891663623,0.229771964102196,0.448942743732259,0.71897349326319,0.44449954652517,0.212174006000812,0.625258057957232,0.674027001841679,0.651644723019859,0.637958961368054,0.490407105506329,0.502973609229201,0.498923174605716,0.0802003779425312,0.579208124853748,0.177070523105866,0.630080970909864,0.526656233147542,0.478042564422551,0.468000833144164,0.348818322913094,0.538225749000746,0.285282668511571,0.641333795666929,0.358631889838428,0.431449829067632,0.159414746548128,0.158178365246904,0.242335250446767,0.419036838543303,0.229952252430256,0.538148795756059,0.327528011159858,0.301615529165323,0.0857194866481952,0.568273658292871,0.524474721193212,0.496649616583908,0.582801769697798,0.809953511972634,0.63228700600926,0.475603648346626,0.256556753655326,0.299262046076544,0.227004538586738,0.392117065142557,0.264709752997854,0.345157532825563,0.463928669034456,0.123924678534762,0.555901141109687,0.604591055268742,0.509245319477323,0.348005100400921,0.523321263299732,0.560769948054643,0.887088188656267,0.368123656184473,0.486959855748733,0.544173418476179,0.217885844906769,0.246854441268341,0.287252782960168,0.314075834452591,0.523428288263851,0.105187559870291
"XRP",0.708811414905504,0.809373129051789,1,0.161207603305704,0.723930350522837,0.52566628237776,0.736751842556137,0.776159912513758,0.541154834285265,0.523042941671818,0.425965763009943,0.801400922279333,0.73357617418493,0.820890055634228,0.483020137771326,0.742469985620061,0.0647751275270076,0.741289750971547,0.138025392781303,0.703546802609331,0.733847989207528,0.780976002398299,0.680402521403343,0.724056614487,0.260303966872692,0.614723980698145,0.655631115690495,-0.0574631010813786,0.586077744818536,0.540615654494404,0.543846674730632,0.685575754156656,-0.00766619074710568,0.582820664205806,0.554324017762456,0.735305047507093,-0.0768754290929771,0.0375814579608527,0.364714086698275,0.661532380024327,0.291298493671332,0.437718480704628,0.491571264476129,0.487019398455804,0.618689794179534,0.11271057918035,0.464332489332168,0.435594017689572,0.356544783687139,0.731499683617573,0.518407720185871,0.639012096440038,0.363652826453405,0.436059279763955,0.25362487675172,0.577193157888763,0.466498467093532,0.219376367358687,0.61235948859112,0.522760464985109,0.216323347357074,0.0266921564223246,0.192190259730955,0.531411269323546,0.51364666735482,0.311157256147364,0.610343779476994,0.397345866883169,0.0923877791735609,0.475762435983063,0.634307209308097,0.443367105074308,0.706836030337747,0.40742314797783,0.728059958703986,0.534602456492003,0.417619846422841,0.333208602966014,0.632916570974599,0.598341624642036,0.622654082891087,0.209373031013942,0.383176051623399,0.688760522787145,0.340399615246451,0.170725512261362,0.575292364652361,0.645280950559141,0.553259053384604,0.593569212805922,0.354970168888379,0.434741715523234,0.436612572265343,0.0671602818404693,0.545572644562269,0.176678267522831,0.600123853035779,0.416652597335572,0.484836062109301,0.353276505545133,0.318432028926033,0.422013448374063,0.240099914103852,0.546790782472038,0.305947588776534,0.414321084573323,0.14379433387576,0.175859653925553,0.229722354940787,0.341685547639897,0.231892923347634,0.495643759207258,0.286701403816298,0.226675487633898,0.118443134636367,0.523249010416764,0.511742256286509,0.448688340464175,0.539683435920528,0.659590363302079,0.527926923493226,0.455391958188736,0.191071185797411,0.273055080775318,0.165656517785826,0.337568376207556,0.207662487027904,0.251576732319768,0.44099140706147,0.149983339557441,0.525294405887249,0.569366370891649,0.39644191918478,0.320496548990961,0.472245397655686,0.538513697432125,0.740749275437795,0.340315755326646,0.465337586773074,0.545822449675853,0.176973810017583,0.203044537654293,0.204836512497479,0.25417617465371,0.452100341931652,0.0222967448901956
"USDT",0.230461617943489,0.167425258566892,0.161207603305704,1,0.155790517660759,0.133748316581508,0.155449674440399,0.155749582881456,0.119896633216212,0.187392863741297,0.147702568688534,0.11881772206359,0.230834491240094,0.128611978718453,0.0701376718259141,0.106198428772429,0.304900658731261,0.151203347282331,0.0645300247531106,0.134450138663982,0.172528412493277,0.188326208669337,0.158898256911873,0.176353723750089,0.050486808633468,0.127428375925024,0.121070361935769,0.38844269902331,0.184001336117634,0.0817709462888769,0.14979078404967,0.176964178441678,0.406873781609926,0.185935901845862,0.15913738228611,0.182778365214376,-0.0765368822735774,-0.00211260465102648,0.102375638645557,0.164989236088583,0.099270197583283,0.113895172450781,0.157865967259597,0.103228895426361,0.0769142657637597,0.149097065801485,0.152958558771316,0.0739541052389209,0.104074509216043,0.186430040404237,0.140240032194878,0.217158388558017,0.0962592195410281,0.0290790231686575,0.0320509975826692,0.088473749217085,0.103746355922851,0.039002955973292,0.104934628912157,0.106291680321862,0.131198087631128,0.0250282154607984,0.0632307722549957,0.156035415643225,0.0249809143369036,0.083878539416229,0.138805159544835,0.115864689730074,0.0927401279484134,0.104733684991605,0.154522127585539,0.0182570776674046,0.121398679540974,0.0959806873418377,0.134800080440053,0.107153121197654,0.109708921757695,0.159984890251784,0.150683709204144,0.0975994596928577,0.121710351864717,0.0552967468159546,0.0805896453392382,0.102392870394942,0.200191471488423,0.137186742294287,0.163330762803538,0.127126519806549,0.120616890115864,0.130838021194904,0.0422589715612842,0.129616862223465,0.109259081683752,0.0453293371613838,0.181820555955522,0.026003161875138,0.0914935569911597,0.10089496816873,0.100769096921326,0.169129949159824,0.118809776721259,0.163768696575761,0.101773058244546,0.141715826897753,0.0461657480752186,0.092236841003937,0.16226631577193,0.0298840686297632,-0.0152726045179868,0.106324830001995,0.0904669694862135,0.11577000908906,0.0612868759674657,0.0806307370569809,0.0240525457062593,0.0833719034487466,0.113312424766123,0.151655963939925,0.159241093874148,0.192900703477823,0.0901882858798178,0.158785732001248,0.0917223225189081,0.0665331338761742,0.0913728508747935,0.143790881395313,0.0452954234412173,0.0214053357550338,0.144333763990428,0.133393270484075,0.104626070403891,0.162875974301389,0.130678750506874,0.10295724971691,0.102058215346461,0.191005425316826,0.135655087841249,0.0953417962022921,0.129480623509952,0.136491875537742,0.0754965963350819,0.109761014309173,0.0097310817615429,0.0677240259614541,0.117065651566098,0.0254958982525687
"BCH",0.793382880183099,0.813134553747004,0.723930350522837,0.155790517660759,1,0.579532514141465,0.810831114852275,0.820907552737629,0.565801433334614,0.415038610913686,0.342558050277754,0.656509181142446,0.696875910230805,0.783061559413551,0.428601018713511,0.654915721179899,-0.0131979423970951,0.735508539421557,0.153904791698196,0.714027249309296,0.709313001428034,0.654473387779997,0.662877885667775,0.697469276994499,0.258884980567331,0.596534081127353,0.617626744248673,-0.0961177035385145,0.607918136193215,0.458757523935769,0.553554209772431,0.735295674100146,-0.0669322819763154,0.566811052083099,0.622633443573831,0.687820187035309,-0.038404577592729,0.0455537253917027,0.332271319205418,0.555878132830559,0.356369768972625,0.43906482256198,0.521044056188716,0.495668162559502,0.635880934977922,0.0689976545050898,0.54178344048568,0.371745887047288,0.295886372968604,0.685295153583694,0.52643784141423,0.622117876679372,0.283354043203917,0.36818561517926,0.27868283426524,0.576270762891195,0.445530138625558,0.219709834137452,0.567840744399478,0.458021786519261,0.192984274552587,0.0569840275649792,0.238921647072999,0.515180427809751,0.435008733487917,0.283597875841725,0.524643284711751,0.380653425750919,0.197474170482796,0.486062346190526,0.643772934929095,0.447649012717128,0.636928469757063,0.432117375720373,0.748429089381753,0.494306035948948,0.420441186911398,0.350704200656999,0.582903196910242,0.593168370696738,0.561479016784364,0.251499504229784,0.395177155563125,0.620326010162653,0.413166953475196,0.156783195206608,0.553290440146838,0.640110981383857,0.540739605927973,0.554031748421303,0.362890542312088,0.446277445399129,0.452815163798911,0.0541373754283993,0.520967894819737,0.187643700249745,0.567762410713458,0.487916579629848,0.429492823027911,0.419097413876929,0.24778369122854,0.470966405875023,0.276654329818988,0.557444852137111,0.270956467799938,0.358745540734044,0.137987241229409,0.172326733808409,0.213340381028219,0.314288266839289,0.234659778687891,0.406734423782063,0.222891076953632,0.370969757525399,0.076606101782526,0.528934139943463,0.506602981445389,0.449661962719588,0.558358206897898,0.664408031870545,0.50610602979589,0.505394918977064,0.290937474718932,0.276764625294824,0.180277609483882,0.300791768210675,0.254350821795798,0.343254331799175,0.448009266009598,0.146858137140903,0.456574460867175,0.577071657735008,0.390428114436084,0.316511016381518,0.439086668421978,0.53422029197621,0.717875628586708,0.364652294069762,0.445721385072887,0.537654350507634,0.182425478241282,0.203736206759269,0.274920565398171,0.343159724376903,0.450770813693658,0.0683611583969025
"BSV",0.514932351138442,0.557978862289675,0.52566628237776,0.133748316581508,0.579532514141465,1,0.528958215327871,0.551849875534447,0.468787143492383,0.311043067855335,0.275886947134198,0.466406644135813,0.504009574123138,0.514144138685171,0.378219243095458,0.5162451133722,-0.00877266784448752,0.523338438072088,0.141805398059962,0.524806480304669,0.545180210375871,0.559321141787046,0.421209441460628,0.502299026492071,0.150815014943828,0.478744095096242,0.480198274122875,-0.0585849019788074,0.441906467537516,0.390223057716048,0.431046088622284,0.593239982619069,-0.0204659948640146,0.424352809277389,0.454812294639085,0.537767756666406,-0.0172379008896268,0.0366494256866051,0.258367956315844,0.429101185037446,0.298851706990426,0.363426041509368,0.392727691337586,0.330342478002709,0.568444232581602,0.0567796648934131,0.299837510071778,0.346097807809888,0.163680528794084,0.556682977630807,0.418844979862555,0.477500806675795,0.276061285435329,0.315027212305001,0.174107595571457,0.481982388467409,0.355331897681699,0.13681962209328,0.531119640435156,0.408778307827987,0.157479886778276,0.0179768393117735,0.175999145952171,0.418094771528993,0.336949542653967,0.201404504540796,0.440957905024621,0.249860874798079,0.146772964270608,0.477363870567394,0.445970617663977,0.391527788538911,0.472175017749887,0.362370309744767,0.52058080789276,0.41728287522793,0.297783664795623,0.238411948796974,0.432701400447658,0.476569806396216,0.512230471444573,0.14976305662881,0.345720666043162,0.489317890817495,0.400706626257247,0.113265442785133,0.423176718322169,0.481265597278983,0.404718836158186,0.434625774533014,0.228187655273241,0.336984962196881,0.418754800975112,0.0637286507516823,0.394085018832946,0.1863923490859,0.444078487727964,0.313131153944538,0.285409736077704,0.365883679535963,0.214854570580055,0.286005762706036,0.169238823867894,0.454726970072578,0.268532603322092,0.298399121945138,0.0861540829756933,0.0733739383879968,0.179311650286594,0.223429886853978,0.218649099485783,0.358271677923656,0.117677218544272,0.202301236608528,0.0345412778574246,0.405270697484862,0.394543220586118,0.329942596557002,0.409734188497125,0.463259291114173,0.413889113064092,0.35315847640033,0.151652354490367,0.230040238828755,0.134244730778114,0.341487658403602,0.100724936929244,0.246438683460756,0.315630486581553,0.0849515045469233,0.371338510754895,0.452450981814156,0.280701061767081,0.26888571469395,0.364648900182608,0.408350639855197,0.507101793357637,0.262101064029426,0.383649791734622,0.362218289986243,0.133847858533713,0.154248555341315,0.176330063357557,0.254861446496895,0.361361463794109,0.0783782614982641
"LTC",0.739251729932627,0.825036797100843,0.736751842556137,0.155449674440399,0.810831114852275,0.528958215327871,1,0.844488843305173,0.651024332047636,0.434286810392792,0.35583390376485,0.691827554534091,0.732249820822365,0.81144731088479,0.540600892755725,0.690361903380809,0.0461699632593812,0.747621705419622,0.17709617827151,0.692519283218734,0.745806486712543,0.68871442250563,0.647549817501695,0.711074515035009,0.418249585647891,0.622951750572203,0.66534203998483,-0.057965422058017,0.599370728635151,0.512689468363628,0.588122297762327,0.727385021968931,-0.0346666764350478,0.595241491676582,0.628629206908437,0.712460014378025,-0.0171311783189676,0.0278202134286992,0.428484849886821,0.616127514362142,0.341258552153403,0.44190103393415,0.543914118814923,0.466084655749026,0.613943541623075,0.102997366681455,0.527244327875544,0.43942473540151,0.312885810000663,0.722348457756992,0.607332257822388,0.641563759160801,0.331582959551442,0.434537622864342,0.308847753541773,0.576760122376839,0.491930377857256,0.226724592202431,0.637866236426276,0.502292534689488,0.203227581353793,0.0699151516517177,0.238920015501691,0.558145266667573,0.481117102160335,0.271188353866581,0.596485410497194,0.420450519537213,0.20098311261902,0.511408678589835,0.643827582320513,0.494055451477599,0.685620635717743,0.425522857518121,0.737307873986901,0.52877413717837,0.432724553925215,0.296105472432293,0.600248397453875,0.60790381547121,0.59953627082237,0.206334886679637,0.382302385855056,0.657610625688972,0.392477576053615,0.180653895292161,0.605605037385549,0.649011392482187,0.621993946134057,0.636581779680576,0.424107286907327,0.491840351301211,0.508000447598998,0.0973497521458015,0.537648578620166,0.158106301199554,0.599164409161239,0.464326739874025,0.432957899181126,0.422454111744091,0.304563318215752,0.446360022351775,0.283336911063874,0.581803118274608,0.291554544320871,0.365191947948447,0.107339209936388,0.135147270721303,0.223375463126682,0.336856082184922,0.258433440753921,0.490517406907079,0.262796390153804,0.329435686808162,0.0572866646863697,0.530529034604687,0.499575399716548,0.456834050559985,0.584087182465695,0.655240361618503,0.574087606466012,0.477385243283264,0.261301421823017,0.249033884138276,0.197113526944554,0.325124891159888,0.266212465298138,0.30797738469431,0.448340568789545,0.0905043101344924,0.499853570953152,0.595004912139296,0.441825386082894,0.370511049390866,0.47975199424658,0.511434402696696,0.755321451411045,0.326452947775306,0.446522874423628,0.536310762195109,0.186076377560832,0.226644856549302,0.218049043872163,0.360682445119799,0.521576117566168,0.112768294254711
"EOS",0.748622695423474,0.86385519624949,0.776159912513758,0.155749582881456,0.820907552737629,0.551849875534447,0.844488843305173,1,0.611343801626645,0.460544098679005,0.404505138830701,0.691999768491314,0.747522233444538,0.83208050446978,0.527604601894273,0.731597131289999,0.0611443661107369,0.773642469255023,0.164931962124973,0.732596534985726,0.755668413775697,0.751368902829435,0.686815942063291,0.737545126687867,0.299119155093054,0.668569792876972,0.722297934796693,-0.0722942332005581,0.578940172381937,0.519035170357873,0.610807541599505,0.723819858114805,-0.00577390475251611,0.61122698629138,0.618155081773666,0.748735194850114,-0.0329396747165304,0.0253815127341732,0.404008498517399,0.617883711853227,0.350434109203518,0.468791299415925,0.538784740459208,0.524769847341732,0.639747379243834,0.113731118701618,0.595910031892846,0.425267820886752,0.334481432931725,0.762482258977813,0.648822035815656,0.673567912304818,0.329697422680016,0.433981975669162,0.285980017884184,0.609656140093028,0.488680782347462,0.258655353043808,0.616309882985513,0.546640479390951,0.201217877594654,0.0823136841609888,0.273205531366936,0.574819059481478,0.497924756067171,0.327318906629835,0.615724715257278,0.410381751605326,0.208298331561495,0.538784586367138,0.642943986315387,0.505896620197029,0.717669994765019,0.475808212507213,0.784299387989433,0.548382461879163,0.426592850490042,0.351600516738296,0.634415323159592,0.653223745199749,0.631017111863554,0.217161683651793,0.390284202660784,0.689663477558013,0.395898339489142,0.169945849804502,0.609199497323488,0.679045423392882,0.59904477764253,0.638965560691818,0.420132848720268,0.505641784572887,0.49909236440617,0.0698054735583064,0.579207094021346,0.198831823990402,0.61534646674268,0.500219072669781,0.44711216750984,0.397782253093563,0.318356216070682,0.478505312508569,0.267800417387419,0.589466869453188,0.278116462008595,0.394873783563241,0.158153237646132,0.177614718399937,0.220566578830189,0.33800266018683,0.195872330994213,0.522034687923565,0.281610094354705,0.293868978932596,0.0768400227352078,0.600200103347062,0.521555485012431,0.495073777766276,0.595635162578769,0.694886890503342,0.611518432785926,0.502854809911265,0.254467785467381,0.258886623002183,0.199491159960847,0.3303117831706,0.28565431665936,0.285102214158924,0.469584226955224,0.134673387925035,0.536514197542046,0.633831372242133,0.420200628358008,0.363547399268242,0.487775531033548,0.574204122271227,0.782993750438832,0.313106066883557,0.473012739968215,0.555899756984169,0.214995311212983,0.262564187768758,0.223524029318641,0.306554832373786,0.505815931648322,0.129157399418586
"BNB",0.579443736573357,0.645827679924647,0.541154834285265,0.119896633216212,0.565801433334614,0.468787143492383,0.651024332047636,0.611343801626645,1,0.3894962135614,0.311333881471919,0.546760192896929,0.638702943481595,0.589181370275373,0.617811757564377,0.572635479941659,0.0332895117932238,0.648978742121121,0.162634917684693,0.576304118635174,0.578311444193264,0.553033923675033,0.48812715907279,0.630462931973508,0.261409921287388,0.572441517240576,0.552491206165322,-0.0199245745585059,0.472079774913118,0.51495573513186,0.47756768247952,0.592558797432819,0.014106717923886,0.505710588496785,0.5212624221941,0.554666259448675,0.0361700187485211,-0.00998709426050861,0.432276636123695,0.518165371136215,0.271786220827864,0.449591461029189,0.505139659099706,0.351065780597048,0.50525953214192,0.068806722596158,0.417186338597474,0.445805421744846,0.25211542846059,0.569088425476667,0.484331164704701,0.529561081682018,0.279345405529657,0.402177692513512,0.188634014603436,0.46149105479377,0.467738557588211,0.220010402396012,0.526903264007956,0.401204250654492,0.188810591498021,-0.00917055452213613,0.241543522007551,0.485254904349011,0.41163181578302,0.216749984608353,0.512080101347113,0.354190109998711,0.174278221349233,0.424414603593559,0.548088646416039,0.471124403902191,0.542802486306809,0.338510236761858,0.605825350065045,0.381517768667261,0.369775502173275,0.238125163319329,0.476918685801744,0.512864409899479,0.517643770494507,0.143495368523064,0.403760938138392,0.542875342950891,0.319375165266493,0.164354545861006,0.478008656758585,0.548258694767683,0.536372551695503,0.487790769159549,0.366506024244308,0.414790603139229,0.447641302652709,0.0467457305845862,0.505198189496682,0.129699664025996,0.507214327390425,0.413758971276317,0.389390267312375,0.348938147941394,0.293370890821903,0.382966771333161,0.261415675685221,0.445764372718749,0.21704036281666,0.35081396164567,0.0168804586377345,0.0931222157468746,0.184353397188031,0.249232655062168,0.166384679571212,0.424971446867989,0.226133733688956,0.209187270810675,0.0627895471759833,0.391243262927845,0.415067632048385,0.353745626130296,0.401343424922517,0.57572926616782,0.495607484767614,0.37184536405062,0.174413206753766,0.184968910098242,0.178926895329435,0.323818753543914,0.210323415202415,0.230119868202403,0.358784809353275,0.0530070973586368,0.411218047480627,0.512671820222321,0.404360967202078,0.292328770261106,0.442571346266248,0.447887915005574,0.622203653666814,0.289434474736737,0.424942418112142,0.441501502076683,0.172556950824386,0.268037866615917,0.208150065023199,0.21998787748103,0.456895512061784,0.0935628774808867
"XTZ",0.484131346651978,0.508094957597713,0.523042941671818,0.187392863741297,0.415038610913686,0.311043067855335,0.434286810392792,0.460544098679005,0.3894962135614,1,0.221029685514575,0.459251288651184,0.467842472490252,0.475654653924326,0.379297802991207,0.430701720063912,0.0590269321192253,0.468832674909262,0.173254741393996,0.496222603003753,0.458993976803402,0.474172154840755,0.440487571641912,0.471436859990723,0.183545503294816,0.471379358940744,0.453536543978086,0.017203057490539,0.380729004789192,0.345861278240687,0.389767456303742,0.424377675970772,-0.017410369741567,0.418095276829384,0.428326934114662,0.466709220224417,-0.0107902724416505,0.0227616023787327,0.280106255010902,0.416169772725155,0.191412035636725,0.321048385459175,0.342599536131201,0.362191383704293,0.391515133171716,0.0738819640250611,0.357011832715626,0.351919197327153,0.200405746951175,0.493883112691191,0.351691950342087,0.444881104113858,0.209134470263742,0.315851932134786,0.118144549914727,0.404575846972917,0.319208860048516,0.110011516701636,0.35087433264661,0.328121174972685,0.167959513836638,0.0228201727147289,0.162709292504036,0.348973068600552,0.332677683303284,0.191204196082472,0.406561075821477,0.275408540759754,0.095604856546152,0.296260897580657,0.432713553347059,0.294284879884494,0.457220561020173,0.279586075889744,0.480153205381634,0.314178518348124,0.265126963607901,0.252167861985618,0.455127922413331,0.400546834101427,0.421905479048337,0.0930515701853152,0.28159824179622,0.458482307891713,0.194340072590912,0.0197165693844638,0.383747793615397,0.425037379684848,0.417700774802362,0.353134895259252,0.21996607592269,0.324028531403875,0.322591088262455,0.0465013107112961,0.384211243043711,0.0292395704310247,0.396264775528564,0.285457796677294,0.275282331835624,0.265084998482249,0.22271078026679,0.263264735682578,0.16090201242776,0.405717212344802,0.140196683226498,0.328424671509741,0.0341641905395562,0.119610913422035,0.0897122099202115,0.251512327481581,0.117107158017842,0.366896162899866,0.150564928127508,0.156375359682268,0.0960307011037231,0.31910027770837,0.39609653532228,0.274951026648129,0.337634928285904,0.388209516275488,0.33065528875404,0.315374155801567,0.151599567930973,0.198198464700574,0.096825928029955,0.162315555154706,0.124064357898891,0.219957748736631,0.271494649035731,0.0837897009726624,0.335694292108406,0.421043865127381,0.269146985961714,0.186020256602276,0.339281411707659,0.362737293265007,0.480133994166074,0.248168060585236,0.27459123095849,0.335440695427707,0.136314952442747,0.130239545801357,0.182967905145194,0.162580675910625,0.341753590037968,0.0196343945615903
