date,BTC,ETH,XRP,USDT,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,XLM,XMR,ADA,HT,TRX,USDC,DASH,CRO,ETC,NEO,MIOTA,XEM,ZEC,INO,MKR,ONT,PAX,DOGE,BAT,VET,BTG,TUSD,LSK,DCR,QTUM,INB,THR,ZB,ZRX,CNX,KCS,REP,WAVES,BCD,PZM,XIN,RVN,SNX,OMG,MCO,NANO,ENJ,THETA,CENNZ,BTM,HOT,ABBC,DGB,KMD,SEELE,MOF,KBC,ICX,KNC,MONA,STEEM,DX,XET,NEXO,SC,DGD,SNT,ZEN,BTS,HC,BCN,NRG,XVG,IOST,ZIL,BCZERO,REN,GNT,BNK,EURS,ARDR,AE,XZC,ELF,QNT,GXC,MANA,PLC,NPXS,ECOREAL,STRAT,MAID,RLC,CRPT,RCN,ETN,DGTX,ELA,DTR,TOMO,SAI,ADK,CSC,LA,ETP,ENG,CCC,EKT,ICON,WICC,LRC,TRUE,AION,QBIT,ARK,RDD,BZ,DRG,DCN,TNT,DIVI,VEST,BRD,ILC,FUN,NAS,VERI,IGNIS,WAN,NULS,BNT,LOKI,PPT,IOTX,YOU,EDC,XMX,R,FTM,WINK
01/01/2019,3843.52,140.82,0.364771,1.02,164.85,92.14,31.98,2.66,6.08,0.474699,0.299371,0.11593,48.37,0.042547,1.11,0.019561,1.01,81.05,0.021466,5.23,7.87,0.369184,0.066118,59.75,0.20004,461.39,0.607312,1.01,0.002392,0.131343,0.004145,13.55,1.01,1.39,17.46,2.27,0.300608,15.41,0.137484,0.317367,1.13,0.64051,8.2,3.16,0.920225,0.139885,88.83,0.013566,0.046988,1.43,2.24,0.957399,0.040699,0.04969,0.025785,0.079409,0.000479,0.073178,0.01074,0.809924,0.003869,0.047143,0.019549,0.244825,0.161621,0.640855,0.27604,0.000197,0.693224,0.080209,0.002706,18.42,0.018204,5.29,0.039627,0.900949,0.000716,1.2,0.007053,0.005538,0.020717,0.033218,0.021944,0.067628,0.003897,1.13,0.054271,0.400219,5.29,0.113696,2.06,0.555991,0.046765,16.61,0.000439,0.018636,1.16,0.140404,0.191967,0.098499,0.012558,0.007622,0.061904,2.79,0.014588,0.307361,1.01,4.25,0.000231,0.079297,0.590142,0.314928,0.000673,0.008211,0.012439,0.112713,0.042122,0.255623,0.147665,4.25,0.392077,0.001292,0.09052,0.047903,0.000154,0.012041,0.002505,0.005896,0.204987,0.083361,0.00424,0.60153,18.32,0.016727,0.349993,0.406567,0.650842,0.211717,1.49,0.007938,0.005066,0.009271,0.00022,0.256234,0.006609,0.000117
02/01/2019,3943.41,155.05,0.375243,1.02,171.83,94.88,33.43,2.89,6.19,0.485319,0.316489,0.119331,52.25,0.045258,1.16,0.020222,1.02,84,0.021441,5.44,8.08,0.394705,0.067139,61.25,0.203309,496.91,0.645164,1.02,0.002407,0.135878,0.004231,13.54,1.02,1.4,18.42,2.36,0.305411,4.72,0.141519,0.329254,1.15,0.653204,8.87,3.15,0.938136,0.129788,97.86,0.014041,0.045235,1.53,2.35,0.967005,0.040856,0.050489,0.026434,0.082401,0.00047,0.071705,0.010785,0.790945,0.004055,0.048228,0.019741,0.256114,0.166982,0.647701,0.288522,0.000215,0.506186,0.077788,0.002767,20.07,0.018733,5.42,0.041815,0.909957,0.000725,1.21,0.007183,0.005954,0.020868,0.034529,0.022208,0.070361,0.003921,1.13,0.054969,0.414944,5.45,0.118463,2.12,0.562836,0.046981,16.1,0.000445,0.03554,1.16,0.151929,0.20035,0.099542,0.01244,0.007734,0.049699,2.84,0.015237,0.338898,1.01,4.21,0.000237,0.089909,0.592473,0.314279,0.002326,0.008231,0.008601,0.116437,0.042844,0.268856,0.152791,4.76,0.416028,0.001339,0.096381,0.04915,0.00016,0.012444,0.002926,0.005509,0.220185,0.084058,0.004391,0.623818,17.55,0.017847,0.357414,0.41768,0.701499,0.20548,1.56,0.008092,0.005156,0.009184,0.000222,0.246156,0.006963,0.000117
03/01/2019,3836.74,149.14,0.360224,1.02,162.05,88.64,32.03,2.68,5.9,0.482134,0.365974,0.113825,49.82,0.042682,1.09,0.020088,1.01,80.86,0.021424,5.09,7.68,0.379233,0.064862,58.31,0.196973,501.96,0.606526,1.01,0.00236,0.131839,0.004051,13.04,1.01,1.35,18.24,2.2,0.291365,14.57,0.13637,0.321247,1.11,0.614,8.64,3.1,0.902977,0.139868,91.26,0.013219,0.038541,1.46,2.3,0.923639,0.038916,0.052906,0.025696,0.077983,0.000475,0.070188,0.010846,0.748545,0.003444,0.047096,0.018965,0.260199,0.156951,0.621493,0.281727,0.000207,0.467158,0.075446,0.002693,19.52,0.017457,5.16,0.03965,0.868524,0.000706,1.26,0.006981,0.005703,0.019935,0.034134,0.02118,0.067897,0.004436,1.13,0.054125,0.395935,5.4,0.116651,2.22,0.551108,0.044282,16.36,0.000451,0.016981,1.11,0.14493,0.192172,0.09951,0.011906,0.007458,0.050902,2.68,0.014984,0.324398,1.01,3.99,0.00023,0.081771,1.71,0.305599,0.001123,0.009535,0.013827,0.111478,0.041366,0.264886,0.148377,4.58,0.416201,0.001298,0.08867,0.046713,0.000157,0.011957,0.003156,0.004794,0.210642,0.08195,0.004333,0.592463,16.94,0.017049,0.352444,0.405815,0.67279,0.207348,1.48,0.008041,0.005036,0.008851,0.000215,0.26894,0.006447,0.000117
04/01/2019,3857.72,154.58,0.356747,1.02,161.4,87.65,32.4,2.72,6.07,0.483029,0.437175,0.115361,50.63,0.043812,1.09,0.021492,1.01,81.2,0.021559,5.25,7.63,0.377061,0.065011,58.41,0.198649,498.49,0.611206,1.01,0.002315,0.138424,0.004094,13.05,1.01,1.36,18.56,2.25,0.282605,4.24,0.13761,0.323379,1.14,0.605391,9.25,3.09,0.905286,0.129433,94.39,0.013268,0.037214,1.48,2.42,0.934506,0.038648,0.051363,0.025991,0.079448,0.000452,0.071244,0.010923,0.767417,0.003923,0.047042,0.019083,0.274433,0.159088,0.624143,0.28175,0.000216,0.424965,0.07674,0.002691,20,0.018075,5.16,0.039895,0.886935,0.00069,1.21,0.006908,0.00579,0.020644,0.037223,0.021337,0.069014,0.004531,1.13,0.056234,0.391558,5.42,0.122122,2.57,0.56529,0.04577,17.77,0.000456,0.017429,1.08,0.142547,0.19298,0.09995,0.011852,0.007379,0.048277,2.73,0.014858,0.28743,1.01,4.13,0.000231,0.087745,0.621836,0.309215,0.0014,0.013687,0.012557,0.112199,0.041609,0.268687,0.151886,4.72,0.457297,0.001294,0.090057,0.044571,0.000186,0.012085,0.002582,0.004475,0.211262,0.080285,0.004479,0.594772,15.97,0.017315,0.353142,0.41197,0.689961,0.202332,1.48,0.007932,0.005029,0.008823,0.000209,0.248345,0.006387,0.000117
05/01/2019,3845.19,155.64,0.355275,1.02,160.4,88.52,34.94,2.7,6.07,0.483224,0.395948,0.114046,49.93,0.044701,1.09,0.022294,1.01,80.61,0.018613,5.14,7.84,0.369546,0.064621,58.05,0.196051,508.89,0.627474,1.01,0.002319,0.136645,0.004074,13.03,1.01,1.36,18.49,2.25,0.282725,14.5,0.138073,0.322866,1.13,0.606198,9.3,3.07,0.919875,0.130215,93,0.013942,0.034838,1.51,2.69,0.938311,0.037252,0.050197,0.026639,0.079825,0.000474,0.068515,0.010911,0.77304,0.003914,0.048809,0.018896,0.268999,0.159304,0.63088,0.281322,0.000258,0.327701,0.073793,0.002683,20.9,0.019082,5.09,0.039658,0.907001,0.000707,1.21,0.006987,0.005799,0.020427,0.037809,0.021547,0.068039,0.004409,1.14,0.060984,0.3967,5.5,0.117664,2.32,0.5597,0.045486,18.52,0.000444,0.015493,1.08,0.139022,0.196014,0.099277,0.011813,0.007303,0.041558,2.72,0.014391,0.291817,1.01,3.85,0.000307,0.084133,0.63613,0.315386,0.00301,0.01011,0.012594,0.118367,0.043327,0.267978,0.154974,4.74,0.442012,0.001302,0.091322,0.040487,0.000176,0.012156,0.00267,0.004756,0.208221,0.06842,0.004524,0.596811,15.02,0.017982,0.363141,0.428412,0.698831,0.209437,1.5,0.007905,0.004909,0.008697,0.000218,0.257743,0.006037,0.000117
06/01/2019,4076.63,157.75,0.368395,1.02,166.84,90.38,39.3,2.88,6.4,0.484338,0.39701,0.120384,54.88,0.049261,1.12,0.023005,1.01,85.84,0.017576,5.5,8.64,0.380924,0.066627,61.62,0.203139,521.43,0.654306,1.01,0.002328,0.140803,0.00434,13.85,1.01,1.44,19.63,2.35,0.284426,10.19,0.140736,0.339807,1.19,0.616339,9.53,3.21,0.963925,0.138296,97.49,0.014517,0.036719,1.58,2.66,1.01,0.039222,0.05203,0.027869,0.082331,0.000554,0.077209,0.011888,0.785299,0.003801,0.051712,0.020381,0.288062,0.172796,0.639408,0.296297,0.000271,0.496354,0.079734,0.002823,21.84,0.019718,5.25,0.042277,0.9343,0.000762,1.1,0.007415,0.006206,0.02171,0.04559,0.023427,0.072276,0.00445,1.14,0.062781,0.416285,5.57,0.127002,2.29,0.588313,0.046287,17.35,0.000459,0.015269,1.1,0.145068,0.211078,0.104375,0.012725,0.00779,0.048618,2.74,0.015404,0.28079,1.01,4.22,0.000204,0.090833,0.666632,0.338678,0.003757,0.010429,0.012594,0.122535,0.044521,0.274806,0.166484,4.78,0.472016,0.001346,0.09235,0.043266,0.000204,0.013358,0.002773,0.003833,0.221399,0.078727,0.004661,0.618018,15.53,0.018846,0.382784,0.445153,0.702547,0.224148,1.57,0.008349,0.005138,0.008668,0.000227,0.275129,0.005731,0.000117
07/01/2019,4025.25,151.7,0.364347,1.01,161.24,88.78,37.81,2.77,6.29,0.481431,0.376474,0.12322,52.83,0.047996,1.1,0.023601,1.01,83.34,0.022577,4.92,8.47,0.367764,0.065016,60.74,0.19811,492.7,0.628132,1.01,0.002285,0.137931,0.004176,13.41,1.01,1.41,19.07,2.28,0.281267,13.95,0.137648,0.324388,1.18,0.596493,9.4,2.95,0.924721,0.120758,95.96,0.014825,0.037217,1.49,2.7,0.960877,0.038589,0.05154,0.026128,0.080696,0.000567,0.076405,0.012197,0.766023,0.00373,0.05054,0.020059,0.276888,0.163367,0.629008,0.303748,0.000276,0.424179,0.075412,0.002797,21.32,0.019214,5.39,0.044216,0.909778,0.000736,1.2,0.007203,0.006489,0.022315,0.055135,0.023275,0.071723,0.003336,1.12,0.06251,0.407981,5.53,0.120145,2.56,0.568525,0.045331,16.69,0.000457,0.023155,1.12,0.143038,0.214042,0.101369,0.012458,0.00772,0.050517,2.73,0.015521,0.275836,1.01,4.15,0.000241,0.086834,0.643637,0.33238,0.002449,0.010124,0.012594,0.122986,0.047345,0.268861,0.163936,5,0.450194,0.001364,0.087369,0.04324,0.000201,0.012878,0.002694,0.003941,0.21357,0.077008,0.004589,0.614001,14.47,0.020159,0.367487,0.437814,0.684739,0.219533,1.55,0.008232,0.004975,0.008535,0.000216,0.259324,0.005957,0.000117
08/01/2019,4030.85,150.36,0.365315,1.02,161.91,87.58,39.48,2.8,6.64,0.484993,0.424198,0.123119,53.16,0.048525,1.11,0.026336,1.01,81.68,0.019565,4.99,9.18,0.363091,0.064316,60.86,0.199096,489.26,0.642589,1.01,0.002276,0.140805,0.004382,13.51,1.01,1.39,18.39,2.28,0.279964,14.06,0.138056,0.325935,1.19,0.596243,10.05,2.89,0.929908,0.110202,98.35,0.015207,0.036484,1.5,2.64,0.996817,0.038822,0.050526,0.025032,0.082254,0.000716,0.076135,0.011566,0.777089,0.003738,0.049506,0.019289,0.275129,0.162281,0.629226,0.306517,0.000286,0.419159,0.076321,0.00282,20.61,0.019402,5.24,0.043368,0.940506,0.000731,1.23,0.007174,0.007045,0.023762,0.049718,0.022597,0.072558,0.003341,1.14,0.061364,0.403801,5.87,0.120403,2.34,0.5673,0.045028,15.89,0.000552,0.031296,1.15,0.125053,0.208639,0.098197,0.012513,0.007541,0.051006,2.53,0.015438,0.278645,1,4.06,0.000201,0.085392,0.659922,0.352668,0.003095,0.010001,0.012594,0.122621,0.043762,0.265094,0.155954,5.01,0.45094,0.001368,0.087133,0.045151,0.000185,0.012752,0.003063,0.003987,0.21265,0.075877,0.004558,0.611841,16.18,0.019401,0.364014,0.430018,0.674858,0.218394,1.52,0.007977,0.004917,0.008689,0.000226,0.258775,0.005847,0.000117
09/01/2019,4035.3,150.8,0.37089,1.02,160.08,87.04,38.99,2.91,6.64,0.495942,0.401805,0.123774,52.71,0.052169,1.12,0.028418,1,85.8,0.019615,4.98,9.2,0.369409,0.064733,60.54,0.199175,492.54,0.720768,1.01,0.002266,0.141753,0.00477,13.44,1.01,1.4,19,2.45,0.277844,13.91,0.138484,0.327053,1.19,0.585647,9.91,2.86,0.932935,0.112927,109.97,0.015104,0.046591,1.53,2.66,1.04,0.039168,0.050689,0.026004,0.082981,0.000652,0.075967,0.011554,0.790992,0.003675,0.049483,0.019339,0.286137,0.165404,0.651584,0.317309,0.000283,0.387063,0.081854,0.002816,20.37,0.020637,5.24,0.04247,1.14,0.000742,1.27,0.007247,0.007085,0.024211,0.043917,0.022925,0.074063,0.002915,1.13,0.062021,0.40964,5.8,0.120974,2.39,0.576298,0.046507,16.26,0.000519,0.036517,1.13,0.133715,0.21109,0.09323,0.01247,0.007505,0.050622,2.55,0.014469,0.296209,0.988245,3.67,0.000202,0.086325,0.63861,0.355544,0.003165,0.010446,0.016,0.124843,0.04464,0.267392,0.160639,5.01,0.469988,0.001371,0.086217,0.045811,0.00017,0.013408,0.003111,0.00375,0.218566,0.074142,0.004687,0.625349,15.48,0.019122,0.370143,0.444276,0.678107,0.218522,1.53,0.00814,0.00498,0.008594,0.000219,0.237447,0.005857,0.000161
10/01/2019,3678.92,128.63,0.332652,1.02,134.97,75.92,33.87,2.44,5.92,0.452833,0.354604,0.109879,45.5,0.044529,1.04,0.025847,1.01,73.78,0.017698,4.43,7.97,0.312712,0.056417,54.96,0.193663,437.56,0.595887,1.01,0.002132,0.125552,0.004068,12.26,1.01,1.22,16.49,2.14,0.267048,12.59,0.128563,0.287561,1.09,0.510718,9.12,2.62,0.809516,0.119999,95.73,0.012651,0.035474,1.28,2.21,0.891327,0.033283,0.04473,0.023631,0.075556,0.000576,0.070769,0.010079,0.671475,0.003168,0.051722,0.017198,0.24186,0.14115,0.59781,0.264566,0.000267,0.413162,0.073088,0.00255,17.52,0.021387,4.62,0.037463,0.984116,0.000656,1.17,0.007598,0.00568,0.020685,0.036403,0.0189,0.064144,0.002557,1.12,0.052159,0.371537,5.2,0.105518,2.16,0.516739,0.038827,15.82,0.000431,0.041767,0.915966,0.114524,0.183211,0.085543,0.010522,0.006724,0.044079,2.29,0.012821,0.253485,1,3.3,0.00022,0.069507,0.573171,0.302564,0.002599,0.01,0.011082,0.112431,0.039251,0.230358,0.142583,4.29,0.415694,0.001246,0.074926,0.04189,0.00015,0.011394,0.002722,0.003413,0.191056,0.065699,0.004074,0.524977,13.53,0.01662,0.312048,0.379506,0.584016,0.201598,1.29,0.006931,0.00482,0.007814,0.00023,0.193589,0.005245,0.000146
