Name,Symbol
Bitcoin,BTC-USD
Ethereum,ETH-USD
Tether,USDT-USD
BinanceCoin,BNB-USD
Cardano,ADA-USD
XRP,XRP-USD
Dogecoin,DOGE-USD
USDCoin,USDC-USD
Polkadot,DOT1-USD
HEX,HEX-USD
Uniswap,UNI3-USD
BitcoinCash,BCH-USD
Litecoin,LTC-USD
Solana,SOL1-USD
Chainlink,LINK-USD
MaticNetwork,MATIC-USD
THETA,THETA-USD
EthereumClassic,ETC-USD
Stellar,XLM-USD
InternetComputer,ICP1-USD
VeChain,VET-USD
FilecoinFutures,FIL-USD
TRON,TRX-USD
Aave,AAVE-USD
EOS,EOS-USD
Monero,XMR-USD
Terra,LUNA1-USD
CryptocomCoin,CRO-USD
Cosmos,ATOM1-USD
SHIBAINU,SHIB-USD
Algorand,ALGO-USD
Maker,MKR-USD
BitcoinSV,BSV-USD
Tezos,XTZ-USD
NEO,NEO-USD
Compound,COMP-USD
IOTA,MIOTA-USD
Amp,AMP1-USD
Avalanche,AVAX-USD
TheGraph,GRT2-USD
CounosX,CCXX-USD
ThetaFuel,TFUEL-USD
Kusama,KSM-USD
Decred,DCR-USD
Elrond,EGLD-USD
BitTorrent,BTT1-USD
Stacks,STX1-USD
HederaHashgraph,HBAR-USD
Chiliz,CHZ-USD
TrueUSD,TUSD-USD
Waves,WAVES-USD
Celsius,CEL-USD
THORChain,RUNE-USD
SynthetixNetworkToken,SNX-USD
Creditcoin,CTC1-USD
Zcash,ZEC-USD
Dash,DASH-USD
yearnfinance,YFI-USD
Decentraland,MANA-USD
Helium,HNT1-USD
EnjinCoin,ENJ-USD
XinFinNetwork,XDC-USD
NEM,XEM-USD
Sushi,SUSHI-USD
Holo,HOT1-USD
Quant,QNT-USD
Harmony,ONE2-USD
Zilliqa,ZIL-USD
BasicAttentionToken,BAT-USD
BitcoinGold,BTG-USD
Celo,CELO-USD
Bancor,BNT-USD
Horizen,ZEN-USD
WhiteCoin,XWC-USD
DeFiChain,DFI-USD
CurveDAOToken,CRV-USD
0x,ZRX-USD
Qtum,QTUM-USD
Nano,NANO-USD
Siacoin,SC-USD
Ontology,ONT-USD
ICON,ICX-USD
DigiByte,DGB-USD
OmiseGO,OMG-USD
UMA,UMA-USD
Ankr,ANKR-USD
VoyagerToken,VGX-USD
Ravencoin,RVN-USD
BitcoinDiamond,BCD-USD
Arweave,AR-USD
PirateChain,ARRR-USD
IOST,IOST-USD
Verge,XVG-USD
TheSandbox,SAND-USD
Lisk,LSK-USD
Golem,GLM-USD
ReserveRights,RSR-USD
KyberNetwork,KNC-USD
Kava,KAVA-USD
MaidSafeCoin,MAID-USD
NervosNetwork,CKB-USD
MirrorProtocol,MIR1-USD
Loopring,LRC-USD
Bytecoin,BCN-USD
Gnosis,GNO-USD
Storj,STORJ-USD
Constellation,DAG-USD
iExecRLC,RLC-USD
Status,SNT-USD
BandProtocol,BAND-USD
